variable,count,missing,mean,std,min,25th_percentile,median_50th,75th_percentile,max,sum,skewness,kurtosis,pct_true,pct_false
works_count,130,0,130.5,303.7740707277559,1.0,17.0,47.5,116.5,2872.0,16965.0,6.539948163471876,53.32473578835319,,
cited_by_count,130,0,2367.7384615384617,4584.8394264931785,42.0,210.5,652.0,2406.0,26811.0,307806.0,3.3773457995296647,11.937687854280611,,
2yr_mean_citedness,130,0,10.446940668597552,9.594585120686435,0.0,4.092431532198371,6.939814814814815,13.991666666666667,55.0,1358.1022869176818,1.9890231619156922,4.90919946764628,,
h_index,130,0,17.746153846153845,15.95162820707554,1.0,6.0,13.0,26.75,79.0,2307.0,1.5420992228918344,2.3918832762325986,,
i10_index,130,0,39.84615384615385,67.80460544812681,1.0,4.25,15.0,44.75,374.0,5180.0,3.256181343690101,11.57938383333606,,
unique_affiliation_count,130,0,6.369230769230769,5.028813815995293,0.0,3.0,5.0,8.0,22.0,828.0,1.263162644619391,1.4625087910889043,,
all_china,130,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
some_china,130,0,0.9307692307692308,0.25482815423967997,0.0,1.0,1.0,1.0,1.0,121.0,-3.433686527341143,9.942951345957793,93.07692307692308,6.923076923076921
some_usa,130,0,0.5,0.5019342431993697,0.0,0.0,0.5,1.0,1.0,65.0,0.0,-2.031496062992126,50.0,50.0
all_usa,130,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
affiliation_data,130,0,0.9538461538461539,0.21062985872898743,0.0,1.0,1.0,1.0,1.0,124.0,-4.376753635799354,17.423824652336812,95.38461538461539,4.61538461538461
unique_country_count,130,0,2.046153846153846,1.2504978138123366,0.0,1.0,2.0,3.0,6.0,266.0,1.022880464724901,1.1816551733332004,,
